set,subset,vocab type,kun,on,meaning,kan
Nakama One,Nine,Kanji Words,,,Dining hall,学食
Nakama One,Nine,Kanji Words,,,To show,見せる
Nakama One,Ten,Kanji,おとこ,ダン,"male, man",男
Nakama One,Ten,Kanji,おんな,ジョ,"female, woman",女
Nakama One,Ten,Kanji,め,モク,eye,目
Nakama One,Ten,Kanji,くち・ぐち,コウ,mouth,口
Nakama One,Ten,Kanji,みみ,ジ,ear,耳
Nakama One,Ten,Kanji,あし,ソク,"foot, leg",足
Nakama One,Ten,Kanji,て,シュ,hand,手
Nakama One,Ten,Kanji,ちち・とう,,father,父
Nakama One,Ten,Kanji,はは・かあ,,mother,母
Nakama One,Ten,Kanji,あね・ねえ,シ,older sister,姉
Nakama One,Ten,Kanji,あに・にい,ケイ・キョウ,older brother,兄
Nakama One,Ten,Kanji,いもうと,マイ,younger sister,妹
Nakama One,Ten,Kanji,おとうと,ダイ,younger brother,弟
Nakama One,Ten,Kanji,いえ・うち,カ,house,家
Nakama One,Ten,Kanji,,ゾク,tribe,族
Nakama One,Ten,Kanji,,リョウ,both,両
Nakama One,Ten,Kanji,おや,シン,parent,親
Nakama One,Ten,Kanji,こ,シ,child,子
Nakama One,Ten,Kanji Words,,,Man,男の人
Nakama One,Ten,Kanji Words,,,Boy,男の子
Nakama One,Ten,Kanji Words,,,Woman,女の人
Nakama One,Ten,Kanji Words,,,Girl,女の子
Nakama One,Ten,Kanji Words,,,Eye,目
Nakama One,Ten,Kanji Words,,,th,番目
Nakama One,Ten,Kanji Words,,,Mouth,口
Nakama One,Ten,Kanji Words,,,Ear,耳
Nakama One,Ten,Kanji Words,,,"Leg, foot",足
Nakama One,Ten,Kanji Words,,,"Arm, hand",手
Nakama One,Ten,Kanji Words,,,Skilled,上手
Nakama One,Ten,Kanji Words,,,Father (speaker's),父
Nakama One,Ten,Kanji Words,,,Father (someone else's),お父さん
Nakama One,Ten,Kanji Words,,,Mother (speaker's),母
Nakama One,Ten,Kanji Words,,,Mother (someone else's),お母さん
Nakama One,Ten,Kanji Words,,,Older sister (speaker's),姉
Nakama One,Ten,Kanji Words,,,Older sister (someone else's),お姉さん
Nakama One,Ten,Kanji Words,,,Older brother (speaker's),兄
Nakama One,Ten,Kanji Words,,,Older brother (someone else's),あ兄さん
Nakama One,Ten,Kanji Words,,,Younger sister (speakers),妹
Nakama One,Ten,Kanji Words,,,Younger brother (speaker's),弟
Nakama One,Ten,Kanji Words,,,Siblings,兄弟
Nakama One,Ten,Kanji Words,,,Family,家族
Nakama One,Ten,Kanji Words,,,My home,私の家
Nakama One,Ten,Kanji Words,,,Parents,両親
Nakama One,Ten,Kanji Words,,,Child (someone else's),お子さん
Nakama One,Ten,Kanji Words,,,Only Child,一人っこ
Nakama One,Ten,Kanji Words,,,Elementary school student,小学生
Nakama One,Ten,Kanji Words,,,Elementary school,小学校
Nakama One,Ten,Kanji Words,,,Middle school student,中学生
Nakama One,Ten,Kanji Words,,,Middle school,中学校
Nakama One,Eleven,Kanji,,テン,heaven,天
Nakama One,Eleven,Kanji,,キ,"spirit, mind",気
Nakama One,Eleven,Kanji,あめ,ウ,rain,雨
Nakama One,Eleven,Kanji,ゆき,セツ,snow,雪
Nakama One,Eleven,Kanji,かぜ,フウ,wind,風
Nakama One,Eleven,Kanji,は（れる）,セイ,"to clear, fine",晴
Nakama One,Eleven,Kanji,あたた（かい）,オン,warm,温
Nakama One,Eleven,Kanji,,ド,degree,度
Nakama One,Eleven,Kanji,ひがし,トウ,east,東
Nakama One,Eleven,Kanji,にし,セイ,west,西
Nakama One,Eleven,Kanji,みなみ,ナン,south,南
Nakama One,Eleven,Kanji,きた,ホク,north,北
Nakama One,Eleven,Kanji,さむ（い）,カン,cold (weather),寒
Nakama One,Eleven,Kanji,あつ（い）,ショ,hot,暑
Nakama One,Eleven,Kanji,おお（い）,タ,"many, much",多
Nakama One,Eleven,Kanji,すく（ない）・すこ（し）,ショウ,"a little, few",少
Nakama One,Eleven,Kanji,つめ（たい）,レイ,cold,冷
Nakama One,Eleven,Kanji Words,,,Weather,天気
Nakama One,Eleven,Kanji Words,,,Tempura,天ぷら
Nakama One,Eleven,Kanji Words,,,Air tempurature,気温
Nakama One,Eleven,Kanji Words,,,Rain,雨
Nakama One,Eleven,Kanji Words,,,Rain shower,にわか雨
Nakama One,Eleven,Kanji Words,,,Snow,雪
Nakama One,Eleven,Kanji Words,,,Wind,風
Nakama One,Eleven,Kanji Words,,,To become sunny,晴れる
Nakama One,Eleven,Kanji Words,,,Warm,温かい
Nakama One,Eleven,Kanji Words,,,tempurature,温度
Nakama One,Eleven,Kanji Words,,,What tempurature?,何度
Nakama One,Eleven,Kanji Words,,,East,東
Nakama One,Eleven,Kanji Words,,,West,西
Nakama One,Eleven,Kanji Words,,,South,南
Nakama One,Eleven,Kanji Words,,,Southeast,南東
Nakama One,Eleven,Kanji Words,,,Southwest,南西
Nakama One,Eleven,Kanji Words,,,North,北
Nakama One,Eleven,Kanji Words,,,Northeast,北東
Nakama One,Eleven,Kanji Words,,,Northwest,北西
Nakama One,Eleven,Kanji Words,,,Cold,寒い
Nakama One,Eleven,Kanji Words,,,Hot,暑い
Nakama One,Eleven,Kanji Words,,,A lot,多い
Nakama One,Eleven,Kanji Words,,,A few,少ない
Nakama One,Eleven,Kanji Words,,,Cool,冷たい
Nakama One,Eleven,Kanji Words,,,To go up,上がる
Nakama One,Eleven,Kanji Words,,,To go down,下がる
Nakama One,Eleven,Kanji Words,,,A little bit,少し
Nakama One,Twelve,Kanji,はる,シュン,spring,春
Nakama One,Twelve,Kanji,なつ,カ,summer,夏
Nakama One,Twelve,Kanji,あき,シュウ,"autumn, fall",秋
Nakama One,Twelve,Kanji,ふゆ,トウ,winter,冬
Nakama One,Twelve,Kanji,あさ,チョウ,morning,朝
Nakama One,Twelve,Kanji,ひる,チュウ,"noon, daytime",昼
Nakama One,Twelve,Kanji,,バン,evening,晩
Nakama One,Twelve,Kanji,,ゴ,noon,午
Nakama One,Twelve,Kanji,まえ,ゼン,"before, front",前
Nakama One,Twelve,Kanji,あと・うし（ろ）・のち,ゴ,"after, later",後
Nakama One,Twelve,Kanji,さ（る）,キョ,"to leave, past",去
Nakama One,Twelve,Kanji,,サク,"last ~ (yesterday, year)",昨
Nakama One,Twelve,Kanji,とも・ども,キョウ,"attendant, companion",供
Nakama One,Twelve,Kanji,もと,ゲン,"origin, former",元
Nakama One,Twelve,Kanji,おも（う）,シ,to think,思
Nakama One,Twelve,Kanji,あか（るい）,メイ,"bright, light",明
Nakama One,Twelve,Kanji,まわ（る）,カイ,"times, frequency",回
Nakama One,Twelve,Kanji Words,,,Spring,春
Nakama One,Twelve,Kanji Words,,,Spring Break,春休み
Nakama One,Twelve,Kanji Words,,,Summer,夏
Nakama One,Twelve,Kanji Words,,,Summer Break,夏休み
Nakama One,Twelve,Kanji Words,,,Autumn,秋
Nakama One,Twelve,Kanji Words,,,Winter,冬
Nakama One,Twelve,Kanji Words,,,Winter Break,冬休み
Nakama One,Twelve,Kanji Words,,,This morning,今朝
Nakama One,Twelve,Kanji Words,,,Every morning,毎朝
Nakama One,Twelve,Kanji Words,,,This evening,今晩
Nakama One,Twelve,Kanji Words,,,Every evening,毎晩
Nakama One,Twelve,Kanji Words,,,A.M. (morning),午前
Nakama One,Twelve,Kanji Words,,,P.M. (afternoon),午後
Nakama One,Twelve,Kanji Words,,,After,後
Nakama One,Twelve,Kanji Words,,,Last year　（きょ）,去年
Nakama One,Twelve,Kanji Words,,,Last year　（さく）,昨年
Nakama One,Twelve,Kanji Words,,,Yesterday,昨日
Nakama One,Twelve,Kanji Words,,,The year before Last,一昨年
Nakama One,Twelve,Kanji Words,,,Child,子供
Nakama One,Twelve,Kanji Words,,,"Lively, healthy",元気
Nakama One,Twelve,Kanji Words,,,to think,思う
Nakama One,Twelve,Kanji Words,,,Memories,思い出
Nakama One,Twelve,Kanji Words,,,"Bright, cheerful",明るい
Nakama One,Twelve,Kanji Words,,,Tomorrow,明日
Nakama One,Twelve,Kanji Words,,,Behind,後ろ
Nakama One,Twelve,Kanji Words,,,The day before Yesterday,一昨日
Nakama One,Twelve,Kanji Words,,,The day after Tomorrow,明後日
Nakama Two,One,Kanji,やま（い）,ビョウ,sickness,病
Nakama One,One,Kanji,,イン,institution,院
Nakama Two,One,Kanji,,イ,medical,医
Nakama Two,One,Kanji,もの,シャ,person,者
Nakama Two,One,Kanji,からだ,タイ・テイ,body,体
Nakama Two,One,Kanji,は,シ,tooth,歯
Nakama Two,One,Kanji,か（わる）,ヘン,"strange, to change",変
Nakama Two,One,Kanji,あつ（い）,ネツ,"heat, fever",熱
Nakama Two,One,Kanji,くすり,ヤク,"medicine, chemical",薬
Nakama Two,One,Kanji,かお,ガン,face,顔
Nakama Two,One,Kanji,いろ,ショク・シキ,color,色
Nakama Two,One,Kanji,ゆび,シ,finger,指
Nakama Two,One,Kanji,き（る）,セツ,to cut,切
Nakama Two,One,Kanji,ある（く）,ホ,to walk,歩
Nakama Two,One,Kanji,はし（る）,ソウ,to run,走
Nakama Two,One,Kanji,つと（める）,ベン,exertion,勉
Nakama Two,One,Kanji,つよ（い）,キョウ,strong,強
Nakama Two,One,Kanji,わす（れる）,ボウ,to forget,忘
Nakama Two,One,Kanji,はや（い）,ソウ,early,早
Nakama Two,One,Kanji,も（つ）,ジ,"to hold, to have",持
Nakama Two,One,Kanji,いた（い）,ツウ,"to hurt; pain",痛
Nakama Two,One,Kanji,あたま,ズ,head,頭
Nakama Two,One,Kanji,よこ,オウ,side,横
Nakama Two,Two,Kanji,うみ,カイ,"sea, ocean",海
Nakama Two,Two,Kanji,そと,ガイ,"outside, other",外
Nakama Two,Two,Kanji,くに,コク・ゴク,"country, nation",国
Nakama Two,Two,Kanji,たび,リョ,"travel, trip",旅
Nakama Two,Two,Kanji,,カン,"(large) building, hall",館
Nakama Two,Two,Kanji,あらかじ（め）,ヨ,in advance,予
Nakama Two,Two,Kanji,さだ（める）,テイ,"decide, determine",定
Nakama Two,Two,Kanji,,ヤク,"promise, approximately",約
Nakama Two,Two,Kanji,はか（る）,ケイ,"measuring, plan",計
Nakama Two,Two,Kanji,,カク・ガ,"picture, painting",画
Nakama Two,Two,Kanji,,ニ・カ,"load, cargo, baggage",荷
Nakama Two,Two,Kanji,もの,ブツ・モツ,"object, thing",物
Nakama Two,Two,Kanji,こた（える）,トウ,"to answer, an answer",答
Nakama Two,Two,Kanji,し（る）,チ,to know,知
Nakama Two,Two,Kanji,と（まる）,ハク・パク,to stay overnight,泊
Nakama Two,Two,Kanji,の（る）,ジョウ,"to ride, to get on",乗
Nakama Two,Two,Kanji,つ（く）・き（る）,チャク,"to arrive, to put on",着
